date,PERIOD,P,I,N,A,IBP,D10,D30,D50,D70,D90,FBP,DEN,DS,FEED,DS_RATIO,COT,CIT,CIP,COP,H2,CH4,C2H4,C2H6,C3H6,C3H8
2020/1/30 21:00,0.815733897,38.87674821,39.39423434,15.29634104,6.422676078,34.64821504,63.30353069,85.29250043,102.7094697,123.7131468,174.8336706,209.2776934,712.6752004,21.32754153,38034.32854,0.560744526,816.0121861,592.0035666,197.1455313,46.19279658,13.75789168,27.38913745,32.31506097,3.716360417,11.07665883,0.341291821
2020/1/30 22:00,0.81626188,38.89694424,39.37976913,15.28832118,6.424966359,34.64922072,63.31062826,85.30946109,102.7227083,123.72303,174.8954638,209.2685298,712.681901,21.33759372,38037.16682,0.560966957,816.021802,591.8750759,197.4233687,46.10747375,13.73137825,27.38803288,32.30775265,3.707564035,11.09586841,0.342020799
2020/1/30 23:00,0.816789863,38.91610616,39.34229876,15.29943268,6.432163564,34.64358381,63.31588198,85.32872772,102.7348189,123.7240461,174.9064743,209.2458984,712.6866323,21.34364216,38035.06551,0.561156971,815.969291,591.6874152,197.1554489,46.07485995,13.700823,27.35742279,32.28991249,3.710412153,11.08305164,0.342749778
2020/1/31 0:00,0.817317846,38.92776394,39.32352244,15.30022073,6.438493768,34.6311374,63.31124808,85.34874306,102.7416861,123.7016158,174.9344566,209.2170166,712.6892782,21.34549139,38036.66289,0.561182022,816.0614649,591.6536527,197.4015178,46.23870349,13.69364877,27.33278946,32.26707009,3.697248638,11.07248672,0.343478756
2020/1/31 1:00,0.817845829,38.93482831,39.32241249,15.29529366,6.437465374,34.6273461,63.31440684,85.36273511,102.7486753,123.7089656,174.959302,209.2083593,712.6933757,21.34422265,38031.73436,0.561221385,815.9805522,591.6150193,197.2387328,46.26609321,13.69713784,27.35190864,32.27844881,3.706307397,11.07293133,0.344207734
2020/1/31 2:00,0.818373812,38.93093173,39.3278059,15.29740686,6.433855422,34.62330742,63.31454341,85.36785113,102.7558505,123.7091545,174.9410927,209.1992213,712.6958445,21.33914371,38034.1007,0.561052932,815.9784683,591.7370906,197.178467,46.32652559,13.70702897,27.36111798,32.28507807,3.692992438,11.06668945,0.344920514
2020/1/31 3:00,0.818901795,38.93550555,39.31774305,15.29481114,6.441940292,34.6157973,63.31751226,85.37470245,102.7563403,123.693242,174.9353218,209.1834478,712.6947703,21.34117008,38033.97604,0.561108049,816.0039017,591.604903,197.3220284,46.31308158,13.7304507,27.36294747,32.27728246,3.686557401,11.06504999,0.34470043
2020/1/31 4:00,0.819429778,38.95260417,39.31325906,15.30093759,6.423198684,34.60002092,63.3208629,85.37213554,102.7464022,123.6688517,174.8567602,209.1869596,712.6907949,21.33033426,38032.98278,0.560837797,815.9802099,591.6875954,197.1459667,46.34469579,13.72607995,27.37968953,32.31669392,3.688303761,11.07620513,0.34393845
2020/1/31 5:00,0.819957761,38.96184247,39.28266805,15.31094255,6.434545954,34.58535557,63.3196853,85.37072983,102.7411706,123.6436288,174.810555,209.1649511,712.686436,21.33218895,38035.16738,0.560854347,816.0090425,591.8709439,197.2437999,46.33899063,13.73886792,27.40601751,32.35124093,3.683507072,11.07465163,0.343216713
2020/1/31 6:00,0.820485744,38.96048355,39.28492705,15.31562549,6.428963431,34.58112818,63.32097054,85.36908951,102.7371119,123.6360263,174.7312734,209.15482,712.6863993,21.32928971,38034.16069,0.560792964,815.99693,591.6766714,197.3442384,46.17604172,13.72845915,27.3752519,32.29195801,3.676719966,11.0381144,0.343553858
